node_id,x,y,label,type
O31205112,116.4011846,39.9876649,,normal
O31205113,116.4016141,39.9874748,,normal
O31205114,116.4016255,39.9873909,,normal
O31205115,116.4018132,39.9873359,,normal
O31205116,116.4024399,39.9871717,,normal
O31205117,116.4030923,39.9869746,,normal
O31205119,116.403513,39.9867905,,normal
O31205120,116.403968,39.9865735,,normal
O31205121,116.4043628,39.9862974,,normal
O31205122,116.4047405,39.985995,,normal
O31205123,116.4050752,39.9856662,,normal
O31205124,116.405367,39.9853045,,normal
O31205125,116.4055816,39.984956,,normal
O31331898,116.3775458,39.9487809,,normal
O31331899,116.3739761,39.9486776,,normal
O31331900,116.3726815,39.948629,,normal
O31331901,116.3739816,39.9487958,,normal
O31331902,116.3775799,39.9488997,,normal
O31331903,116.3821785,39.9489176,,normal
O31331906,116.4042857,39.949107,,normal
O31331949,116.3714345,39.9485056,,normal
O31331950,116.3701704,39.9482334,,normal
O31331951,116.3681175,39.9474749,,normal
O31331952,116.3667243,39.9468631,,normal
O31331953,116.3651902,39.9462517,,normal
O31331954,116.3637539,39.9458197,,normal
O31331970,116.4340572,39.9336734,,normal
O32278573,116.403059,39.9408572,,normal
O32387951,116.4149605,39.9333864,,normal
O32387952,116.4168795,39.9335397,,normal
O32387953,116.4255387,39.9336205,,normal
O32387954,116.4333715,39.9335056,,normal
O32387955,116.433845,39.933241,,normal
O32387956,116.4344339,39.9332549,,normal
O32387957,116.4349142,39.9336272,,normal
O32388049,116.4343518,39.9341404,,normal
O32388050,116.4338118,39.9341278,,normal
O32388118,116.4088411,39.9333079,,normal
O32388119,116.4084583,39.9410369,,normal
O32388365,116.3958988,39.9402134,,normal
O32388366,116.3951265,39.9406341,,normal
O32388368,116.3957533,39.9412019,,normal
O32388370,116.3967663,39.9407706,,normal
O32449306,116.3999575,39.9383732,,normal
O32449307,116.399884,39.9400865,,normal
O32449308,116.3999213,39.9381666,,normal
O32449310,116.4004487,39.9376853,,normal
O32450490,116.4086677,39.9371482,,normal
O32450493,116.4031811,39.9362891,,normal
O32450494,116.4087023,39.9363271,,normal
O32451111,116.4031548,39.9377042,,normal
O32451314,116.4086506,39.9377956,,normal
O32451339,116.4031314,39.9384335,,normal
O32451345,116.408621,39.9384965,,normal
O32451488,116.3960674,39.9379245,,normal
O32451577,116.403126,39.9342103,,normal
O32451728,116.3976532,39.9380912,,normal
O32615466,116.3147002,39.9323995,,normal
O32615468,116.3198319,39.9323897,,normal
O32615470,116.3336987,39.9324202,,normal
O32615472,116.3394044,39.9324409,,normal
O32615474,116.3495223,39.9324144,,normal
O32615475,116.3540586,39.9324927,,normal
O32615479,116.3677386,39.9323608,,normal
O32615480,116.3729919,39.9329581,,normal
