node_id,x,y,label,type
O81326274,121.4130277,31.2067984,,normal
O81326275,121.4136284,31.2072095,,normal
O81326276,121.4143835,31.2075764,,normal
O81326277,121.4151985,31.2078259,,normal
O81326278,121.4179763,31.2084161,,normal
O81326281,121.4267917,31.2101191,,normal
O81326282,121.4274779,31.2101575,,normal
O81326283,121.4281607,31.2102056,,normal
O81326284,121.4291752,31.2105084,,normal
O81326337,121.4224721,31.2093323,,normal
O81326612,121.4233976,31.2095533,,normal
O81326613,121.4243377,31.2097657,,normal
O81326614,121.425126,31.2099615,,normal
O81326615,121.4256629,31.2100508,,normal
O81326616,121.426829,31.2101868,,normal
O81326617,121.4280277,31.2102889,,normal
O81326618,121.4284474,31.2103859,,normal
O81326619,121.4294905,31.2109489,,normal
O81326620,121.4298206,31.2112436,,normal
O81326621,121.4303851,31.211982,,normal
O81326622,121.4307657,31.2126289,,normal
O82515933,121.4514631,31.2089507,,normal
O82515934,121.4521301,31.2091581,,normal
O82515935,121.4524835,31.2094089,,normal
O82515936,121.4529224,31.2096651,,normal
O82515963,121.4513121,31.2089866,,normal
O82516857,121.4500851,31.209471,,normal
O82517936,121.4495461,31.2086182,,normal
O82518112,121.4458421,31.2035544,,normal
O82519517,121.4490041,31.2078788,,normal
O82520027,121.4516769,31.2090171,,normal
O82523942,121.4506639,31.205368,,normal
O82524707,121.4462068,31.2040426,,normal
O82526036,121.4483059,31.206981,,normal
O83316739,121.471616,31.2211437,,normal
O85008077,121.4693918,31.2077411,,normal
O85010251,121.4758044,31.2193201,,normal
O85010431,121.4744133,31.2231929,,normal
O85011021,121.4740686,31.2212165,,normal
O85011298,121.4752294,31.2216376,,normal
O85014614,121.4456799,31.2035632,,normal
O85631867,121.4429613,31.2199774,,normal
O85632327,121.4440083,31.2202343,,normal
O85632620,121.442018,31.2196268,,normal
O87604258,121.4701884,31.2099206,,normal
O87723676,121.4482598,31.2071248,,normal
O87752335,121.4455384,31.2210641,,normal
O87752549,121.4739171,31.2242704,,normal
O87752571,121.4546781,31.2236629,,normal
O87752591,121.4551201,31.2237355,,normal
O87781402,121.450028,31.209496,,normal
O87781592,121.4743444,31.2197259,,normal
O93245999,121.4756165,31.220697,,normal
O93246009,121.4757785,31.2207034,,normal
O93246063,121.4759881,31.2207005,,normal
O93246152,121.476184,31.2206641,,normal
O93246153,121.4763984,31.2206,,normal
O93246155,121.4766136,31.2204941,,normal
O93246158,121.4769104,31.2203508,,normal
O93246162,121.4771724,31.2202233,,normal
O93246167,121.4773863,31.2201248,,normal
O93246170,121.4777956,31.2200061,,normal
O93246181,121.4782119,31.2200119,,normal
O93246183,121.4783786,31.2200519,,normal
O93246189,121.4792809,31.2205169,,normal
O93246191,121.4786447,31.2201441,,normal
O93246200,121.4787544,31.2199222,,normal
O93246664,121.4737081,31.2218775,,normal
O93246685,121.4749091,31.2223127,,normal
O93309349,121.4754868,31.2204041,,normal
O93310009,121.480187,31.220034,,normal
O93310233,121.4826932,31.218822,,normal
O93310272,121.4819167,31.2206677,,normal
O94544453,121.4126848,31.2121774,,normal
O94544466,121.4124036,31.2128449,,normal
O94544478,121.4121632,31.2133303,,normal
O94544490,121.4118326,31.2140262,,normal
O94544523,121.4114349,31.2149416,,normal
O94544539,121.4112355,31.2154867,,normal
O94544540,121.411039,31.2161655,,normal
O94544544,121.4107999,31.2173069,,normal
O94544570,121.4106739,31.2183157,,normal
O94544617,121.4106484,31.219696,,normal
O94544647,121.4107239,31.2209858,,normal
O94544666,121.4108329,31.2221472,,normal
O94544682,121.4109217,31.2232834,,normal
O94544718,121.4109746,31.2246744,,normal
O94544734,121.4109951,31.2253592,,normal
O94544739,121.4109292,31.2259341,,normal
O94544748,121.4108473,31.2262485,,normal
O94544794,121.4106214,31.2269326,,normal
O94544796,121.4104109,31.2275681,,normal
O94570014,121.4148986,31.2382589,,normal
O94570026,121.4124316,31.2346397,,normal
O94574920,121.4478428,31.208712,,normal
O94574925,121.4494477,31.2086266,,normal
O94574934,121.4483293,31.2087044,,normal
O94574950,121.4508768,31.2084297,,normal
O94574990,121.451593,31.2084293,,normal
O94589934,121.4475954,31.2090249,,normal
O94630294,121.4475,31.2100829,,normal
O94632188,121.4489422,31.2046883,,normal
O94706586,121.412969,31.2068677,,normal
O94707271,121.4509071,31.2222648,,normal
O94761700,121.4539804,31.2287715,,normal
O94820531,121.4564598,31.2253221,,normal
O94820938,121.4657655,31.2345142,,normal
O94821259,121.4610928,31.2366639,,normal
O94821548,121.4573671,31.2335497,,normal
O95350375,121.4746592,31.2048086,,normal
O95350463,121.4745025,31.2056476,,normal
O95386222,121.486166,31.232812,,normal
O95386499,121.4878472,31.2333279,,normal
O95386562,121.4893966,31.2338694,,normal
O95398699,121.4291065,31.2108242,,normal
O95430109,121.4262878,31.2101403,,normal
O95430233,121.4469465,31.2210467,,normal
O95430322,121.4716523,31.2218619,,normal
O95612191,121.4810971,31.2138636,,normal
O95612298,121.4775354,31.2126064,,normal
O95626455,121.4706011,31.2133248,,normal
O95679551,121.4839684,31.2157923,,normal
O95724083,121.4755001,31.2216964,,normal
O103781600,121.4859056,31.2433862,,normal
O103810745,121.4839974,31.2392253,,normal
O103832206,121.4854064,31.2432352,,normal
O103894194,121.4313998,31.2132931,,normal
O103894227,121.4319021,31.2136229,,normal
O103894308,121.4330707,31.2141446,,normal
O103894362,121.4345505,31.2151082,,normal
