edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,original_congestion,mapped_congestion,traffic_captured_at
OSM08234,O31331950,O1190930465,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08235,O1190930465,O31331949,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08236,O31331949,O1190930433,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08237,O1190930433,O31331900,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08238,O31331900,O31331899,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08239,O31331899,O1502633978,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08240,O1502633978,O1840701847,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08241,O1840701847,O8068937116,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08242,O8068937116,O31331898,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08243,O31331898,O385099608,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08244,O1203004116,O1840701845,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08245,O1840701845,O1502633975,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08246,O1502633975,O1502633968,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08247,O1502633968,O8068937133,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM08248,O8068937133,O244252375,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
